DateTime,RH [%],Temperature [°C],WBT_C,Time,year,month,day,hour,minute,second
2023-12-01 00:05:34.000,64.1,30.5,25.1,2023-12-01 00:05:34,2023,12,1,0,5,34
2023-12-01 00:15:34.000,64.1,30.4,25.0,2023-12-01 00:15:34,2023,12,1,0,15,34
2023-12-01 00:25:34.000,65.1,30.3,25.1,2023-12-01 00:25:34,2023,12,1,0,25,34
2023-12-01 00:35:34.000,65.0,30.3,25.1,2023-12-01 00:35:34,2023,12,1,0,35,34
2023-12-01 00:45:34.000,64.8,30.3,25.1,2023-12-01 00:45:34,2023,12,1,0,45,34
2023-12-01 00:55:35.000,64.9,30.4,25.1,2023-12-01 00:55:35,2023,12,1,0,55,35
2023-12-01 01:05:35.000,65.1,30.3,25.1,2023-12-01 01:05:35,2023,12,1,1,5,35
2023-12-01 01:15:35.000,65.0,30.4,25.2,2023-12-01 01:15:35,2023,12,1,1,15,35
2023-12-01 01:25:35.000,64.8,30.5,25.2,2023-12-01 01:25:35,2023,12,1,1,25,35
2023-12-01 01:35:35.000,64.9,30.5,25.2,2023-12-01 01:35:35,2023,12,1,1,35,35
2023-12-01 01:45:35.000,65.4,30.4,25.2,2023-12-01 01:45:35,2023,12,1,1,45,35
2023-12-01 01:55:35.000,65.3,30.3,25.2,2023-12-01 01:55:35,2023,12,1,1,55,35
2023-12-01 02:05:35.000,65.6,30.3,25.2,2023-12-01 02:05:35,2023,12,1,2,5,35
2023-12-01 02:15:35.000,66.5,30.1,25.2,2023-12-01 02:15:35,2023,12,1,2,15,35
2023-12-01 02:25:35.000,67.1,30.1,25.2,2023-12-01 02:25:35,2023,12,1,2,25,35
2023-12-01 02:35:35.000,67.3,30.0,25.1,2023-12-01 02:35:35,2023,12,1,2,35,35
2023-12-01 02:45:35.000,67.8,29.9,25.2,2023-12-01 02:45:35,2023,12,1,2,45,35
2023-12-01 02:55:35.000,68.1,29.9,25.2,2023-12-01 02:55:35,2023,12,1,2,55,35
2023-12-01 03:05:35.000,68.9,29.8,25.3,2023-12-01 03:05:35,2023,12,1,3,5,35
2023-12-01 03:15:35.000,68.1,29.8,25.1,2023-12-01 03:15:35,2023,12,1,3,15,35
2023-12-01 03:25:35.000,68.9,29.7,25.1,2023-12-01 03:25:35,2023,12,1,3,25,35
2023-12-01 03:35:35.000,68.7,29.7,25.1,2023-12-01 03:35:35,2023,12,1,3,35,35
2023-12-01 03:45:35.000,69.3,29.6,25.2,2023-12-01 03:45:35,2023,12,1,3,45,35
2023-12-01 03:55:35.000,69.4,29.7,25.2,2023-12-01 03:55:35,2023,12,1,3,55,35
2023-12-01 04:05:35.000,69.9,29.7,25.3,2023-12-01 04:05:35,2023,12,1,4,5,35
2023-12-01 04:15:35.000,69.8,29.6,25.2,2023-12-01 04:15:35,2023,12,1,4,15,35
2023-12-01 04:25:35.000,68.9,29.7,25.2,2023-12-01 04:25:35,2023,12,1,4,25,35
2023-12-01 04:35:35.000,68.2,29.7,25.0,2023-12-01 04:35:35,2023,12,1,4,35,35
2023-12-01 04:45:35.000,68.5,29.7,25.1,2023-12-01 04:45:35,2023,12,1,4,45,35
2023-12-01 04:55:35.000,68.2,29.7,25.0,2023-12-01 04:55:35,2023,12,1,4,55,35
2023-12-01 05:05:35.000,68.7,29.6,25.0,2023-12-01 05:05:35,2023,12,1,5,5,35
2023-12-01 05:15:35.000,69.0,29.5,25.0,2023-12-01 05:15:35,2023,12,1,5,15,35
2023-12-01 05:25:35.000,69.3,29.4,24.9,2023-12-01 05:25:35,2023,12,1,5,25,35
2023-12-01 05:35:35.000,69.5,29.4,25.0,2023-12-01 05:35:35,2023,12,1,5,35,35
2023-12-01 05:45:35.000,69.1,29.4,24.9,2023-12-01 05:45:35,2023,12,1,5,45,35
2023-12-01 05:55:35.000,69.3,29.3,24.8,2023-12-01 05:55:35,2023,12,1,5,55,35
2023-12-01 06:05:36.000,70.4,29.3,25.0,2023-12-01 06:05:36,2023,12,1,6,5,36
2023-12-01 06:15:35.000,71.1,29.2,25.0,2023-12-01 06:15:35,2023,12,1,6,15,35
2023-12-01 06:25:35.000,71.2,29.1,25.0,2023-12-01 06:25:35,2023,12,1,6,25,35
