,Time,RT,kW_Tot,kW_RT,CH Load,kW_CHH,kW_CHP,kW_CHS,kW_CDS,kW_CT,GPM,DeltaCHW,CHWS,CHWR,DeltaCDW,CDHI,CDLO,WBT,DeltaCT,Hz_ CHP,Hz_CHS,Hz_CDS,Hz_CT,Precent_CH,Precent_ CHP,Precent_CDS,Precent_CT,DateTime,RH [%],Temperature [°C],WBT_C,Time_Difference
0,2024-08-01 00:00:00,162.0,188.2,1.162,36.4,123.6,19.0,0,27.2,18.5,1215.0,3.2,45.2,48.4,3.2,83.7,80.5,72.7,-7.8,45,0,45,47,65.6,10.1,14.4,9.8,2024-08-01 00:01:26,80.2,30.1,27.3,86.0
1,2024-08-01 00:10:00,146.8,181.8,1.238,34.6,117.3,19.1,0,27.2,18.2,1215.0,2.9,44.9,47.8,3.1,83.4,80.3,72.7,-7.6,45,0,45,47,64.6,10.5,14.9,10.0,2024-08-01 00:11:26,80.3,30.1,27.2,86.0
2,2024-08-01 00:20:00,181.1,174.8,0.965,32.4,110.2,19.0,0,27.1,18.4,1207.3,3.6,44.8,48.4,3.2,83.5,80.3,72.7,-7.6,45,0,45,47,63.0,10.9,15.5,10.5,2024-08-01 00:21:26,80.4,30.0,27.2,86.0
3,2024-08-01 00:30:00,156.3,173.9,1.113,32.2,109.3,19.0,0,27.1,18.4,1209.9,3.1,45.2,48.3,3.0,83.1,80.1,72.7,-7.4,45,0,45,47,62.9,10.9,15.6,10.6,2024-08-01 00:31:26,79.7,30.0,27.1,86.0
4,2024-08-01 00:40:00,165.3,185.1,1.12,35.5,120.6,19.0,0,27.0,18.5,1202.1,3.3,45.0,48.3,3.1,83.0,79.9,72.7,-7.2,45,0,45,47,65.2,10.2,14.6,10.0,2024-08-01 00:41:27,78.5,29.9,26.8,87.0
5,2024-08-01 00:50:00,149.4,176.2,1.179,33.0,111.9,18.9,0,27.1,18.3,1195.5,3.0,45.2,48.2,3.0,82.7,79.7,72.7,-7.0,45,0,45,47,63.5,10.7,15.4,10.4,2024-08-01 00:51:27,78.3,29.9,26.8,87.0
6,2024-08-01 01:00:00,141.0,179.5,1.273,33.8,114.7,18.9,0,27.3,18.6,1208.6,2.8,45.2,48.0,2.9,82.4,79.5,72.7,-6.8,45,0,45,47,63.9,10.5,15.2,10.4,2024-08-01 01:01:27,78.0,29.9,26.8,87.0
7,2024-08-01 01:10:00,135.7,180.0,1.327,33.9,115.3,18.9,0,27.3,18.6,1206.0,2.7,45.0,47.7,3.0,82.4,79.4,72.7,-6.7,45,0,45,47,64.0,10.5,15.2,10.3,2024-08-01 01:11:27,78.4,29.8,26.7,87.0
8,2024-08-01 01:20:00,146.5,187.8,1.282,36.3,123.2,19.0,0,27.2,18.4,1212.5,2.9,45.3,48.2,2.8,82.2,79.4,72.7,-6.7,45,0,45,47,65.6,10.1,14.5,9.8,2024-08-01 01:21:27,78.6,29.9,26.8,87.0
9,2024-08-01 01:30:00,146.7,179.4,1.224,33.8,114.7,19.1,0,27.2,18.5,1213.8,2.9,44.8,47.7,3.0,82.3,79.3,72.7,-6.6,45,0,45,47,63.9,10.6,15.2,10.3,2024-08-01 01:31:27,78.7,29.8,26.8,87.0
10,2024-08-01 01:40:00,151.1,186.6,1.235,36.0,122.2,19.0,0,27.1,18.3,1208.6,3.0,45.2,48.2,2.9,82.3,79.4,72.7,-6.7,45,0,45,47,65.5,10.2,14.5,9.8,2024-08-01 01:41:27,79.1,29.9,26.9,87.0
11,2024-08-01 01:50:00,151.1,184.9,1.224,35.1,120.3,19.0,0,27.3,18.3,1208.6,3.0,45.1,48.1,2.9,82.2,79.3,72.7,-6.6,45,0,45,47,65.1,10.3,14.8,9.9,2024-08-01 01:51:27,79.6,29.7,26.8,87.0
12,2024-08-01 02:00:00,169.6,187.0,1.103,35.8,122.5,19.0,0,27.1,18.5,1196.8,3.4,44.8,48.2,3.0,82.3,79.3,72.7,-6.6,45,0,45,47,65.5,10.2,14.5,9.9,2024-08-01 02:01:27,79.2,29.7,26.7,87.0
13,2024-08-01 02:10:00,130.5,183.4,1.405,35.0,118.9,19.0,0,27.2,18.4,1204.7,2.6,45.1,47.7,3.0,82.3,79.3,72.7,-6.6,45,0,45,47,64.8,10.4,14.8,10.0,2024-08-01 02:11:27,78.5,29.7,26.6,87.0
14,2024-08-01 02:20:00,151.2,185.4,1.226,35.6,120.7,19.0,0,27.3,18.4,1209.9,3.0,45.2,48.2,2.9,82.1,79.2,72.7,-6.5,45,0,45,47,65.1,10.3,14.7,9.9,2024-08-01 02:21:27,77.9,29.7,26.5,87.0
15,2024-08-01 02:30:00,146.5,185.2,1.264,35.6,120.7,18.9,0,27.1,18.4,1212.5,2.9,45.2,48.1,2.9,81.8,78.9,72.7,-6.2,45,0,45,47,65.2,10.2,14.6,9.9,2024-08-01 02:31:27,77.7,29.7,26.5,87.0
16,2024-08-01 02:40:00,165.8,190.0,1.146,37.0,125.5,19.0,0,27.1,18.4,1206.0,3.3,44.9,48.2,3.0,81.9,78.9,72.7,-6.2,45,0,45,47,66.1,10.0,14.2,9.7,2024-08-01 02:41:27,77.8,29.7,26.5,87.0
17,2024-08-01 02:50:00,155.4,183.6,1.181,35.1,119.2,18.9,0,27.3,18.4,1203.4,3.1,44.7,47.8,2.8,81.7,78.9,72.7,-6.2,45,0,45,47,64.9,10.3,14.8,10.0,2024-08-01 02:51:27,77.5,29.6,26.4,87.0
18,2024-08-01 03:00:00,136.5,180.4,1.321,34.1,115.9,19.0,0,27.0,18.5,1213.8,2.7,44.9,47.6,2.7,81.5,78.8,72.7,-6.1,45,0,45,47,64.3,10.5,15.0,10.3,2024-08-01 03:01:27,77.6,29.7,26.5,87.0
19,2024-08-01 03:10:00,125.4,184.2,1.469,35.3,119.7,19.0,0,27.2,18.3,1203.4,2.5,45.1,47.6,2.9,81.7,78.8,72.7,-6.1,45,0,45,47,65.0,10.3,14.8,9.9,2024-08-01 03:11:27,77.6,29.7,26.5,87.0
20,2024-08-01 03:20:00,130.6,183.5,1.405,35.0,118.9,19.1,0,27.2,18.3,1206.0,2.6,44.9,47.5,2.8,81.6,78.8,72.7,-6.1,45,0,45,47,64.8,10.4,14.8,10.0,2024-08-01 03:21:27,77.7,29.6,26.4,87.0
21,2024-08-01 03:30:00,135.1,189.4,1.402,36.7,124.5,19.0,0,27.4,18.6,1200.8,2.7,45.1,47.8,3.0,81.7,78.7,72.7,-6.0,45,0,45,47,65.7,10.0,14.4,9.8,2024-08-01 03:31:27,77.6,29.6,26.4,87.0
22,2024-08-01 03:40:00,149.1,179.4,1.203,33.9,115.0,18.9,0,27.1,18.4,1192.9,3.0,45.0,48.0,2.8,81.5,78.7,72.7,-6.0,45,0,45,47,64.1,10.5,15.1,10.3,2024-08-01 03:41:27,77.3,29.6,26.3,87.0
23,2024-08-01 03:50:00,140.8,183.8,1.305,35.2,119.6,19.0,0,27.0,18.2,1207.3,2.8,45.2,48.0,2.8,81.4,78.6,72.7,-5.9,45,0,45,47,65.1,10.3,14.7,9.9,2024-08-01 03:51:27,77.6,29.5,26.3,87.0
24,2024-08-01 04:00:00,138.6,183.6,1.325,35.1,119.1,18.8,0,27.3,18.4,1187.6,2.8,45.2,48.0,2.8,81.3,78.5,72.7,-5.8,45,0,45,47,64.9,10.2,14.8,10.0,2024-08-01 04:01:27,78.2,29.5,26.4,87.0
25,2024-08-01 04:10:00,152.8,183.9,1.203,35.1,119.3,19.1,0,27.2,18.4,1222.8,3.0,44.8,47.8,2.9,81.3,78.4,72.7,-5.7,45,0,45,47,64.9,10.4,14.8,10.0,2024-08-01 04:11:27,78.6,29.3,26.3,87.0
