Time,RT,kW_Tot,kW_RT,CH Load,CH1,CH2,CH3,CH4,kW_CHH,kW_CHP,kW_CHS,kW_CDS,kW_CT,GPM,DeltaCHW,CHWS,CHWR,DeltaCDW,CDHI,CDLO,WBT,DeltaCT,Hz_ CHP,Hz_CHS,Hz_CDS,Hz_CT,Precent_CH,Precent_ CHP,Precent_CDS,Precent_CT,year,month,day,hour,minute,second
2023-12-01 00:00:00,201.2,208.7,1.037,39.6,0,1,0,0,135.6,23.3,0,30.9,18.9,1238.0,3.9,47.0,50.9,3.9,81.9,78.0,75.6,-2.4,48,0,47,47.0,65.0,11.2,14.8,9.1,2023,12,1,0,0,0
2023-12-01 00:10:00,180.5,203.5,1.127,38.4,0,1,0,0,130.4,23.3,0,30.9,18.9,1238.0,3.5,47.3,50.8,3.8,81.7,77.9,75.6,-2.3,48,0,47,47.0,64.1,11.5,15.2,9.3,2023,12,1,0,10,0
2023-12-01 00:20:00,170.2,200.8,1.179,37.6,0,1,0,0,127.8,23.3,0,30.9,18.9,1238.0,3.3,47.4,50.7,3.7,81.5,77.8,75.6,-2.2,48,0,47,47.0,63.6,11.6,15.4,9.4,2023,12,1,0,20,0
2023-12-01 00:30:00,184.9,201.2,1.088,37.8,0,1,0,0,128.3,23.3,0,30.6,18.9,1233.0,3.6,47.2,50.8,3.8,81.4,77.6,75.6,-2.0,48,0,47,47.0,63.8,11.6,15.2,9.4,2023,12,1,0,30,0
2023-12-01 00:40:00,176.4,181.4,1.028,34.6,0,1,0,0,117.6,24.1,0,30.8,8.9,1282.8,3.3,47.5,50.8,3.7,81.5,77.8,75.6,-2.2,48,0,47,47.0,64.8,13.3,17.0,4.9,2023,12,1,0,40,0
2023-12-01 00:50:00,181.9,189.7,1.043,37.0,0,1,0,0,125.7,24.1,0,31.0,8.9,1284.0,3.4,47.4,50.8,3.1,83.4,80.3,75.6,-4.7,48,0,47,47.0,66.3,12.7,16.4,4.7,2023,12,1,0,50,0
2023-12-01 01:00:00,179.5,193.0,1.076,38.1,0,1,0,0,129.2,24.1,0,31.0,8.7,1266.8,3.4,47.4,50.8,3.3,85.1,81.8,75.6,-6.2,48,0,47,47.0,66.9,12.5,16.1,4.5,2023,12,1,1,0,0
2023-12-01 01:10:00,165.2,214.1,1.296,44.4,0,1,0,0,150.9,24.0,0,31.0,8.3,1279.1,3.1,47.4,50.5,3.4,86.2,82.8,75.6,-7.2,48,0,47,46.0,70.5,11.2,14.5,3.9,2023,12,1,1,10,0
2023-12-01 01:20:00,170.4,207.6,1.218,42.5,0,1,0,0,144.2,24.1,0,31.1,8.3,1277.9,3.2,47.4,50.6,3.3,86.7,83.4,75.6,-7.8,48,0,47,46.0,69.4,11.6,15.0,4.0,2023,12,1,1,20,0
2023-12-01 01:30:00,180.7,197.2,1.091,39.5,0,1,0,0,134.2,24.0,0,30.9,8.1,1275.5,3.4,47.3,50.7,3.5,87.3,83.8,75.6,-8.2,48,0,47,46.0,68.1,12.1,15.7,4.1,2023,12,1,1,30,0
